KIC,Period,Perr,Radius,84% CI,16% CI,Status,Score,Prot,Significance,B-V,Age,Mcquillan Prot
12105051,2.624234833,3.89E-07,5.11,0.6,0.23,CANDIDATE,1,38.31,0.004,0.82,6977.14,
9872283,3.126861192,1.69E-06,5.12,3.27,2.98,CONFIRMED,1,18.67,2.596,1.1,1384.46,18.626
8892303,5.424749327,3.90E-06,5.15,0.37,0.63,CONFIRMED,1,0.24,0.026,2,0.31,
11960862,6.575315881,3.73E-06,5.31,1.5,0.81,CONFIRMED,1,0.3,0.003,0.77,1.12,
6392727,4.583520948,4.18E-06,5.39,1.6,0.53,CONFIRMED,1,7.7,4.385,0.89,342.04,7.654
10788461,9.2075634,0.0003568,5.5,1.45,1.44,CANDIDATE,1,17.03,0.39,0.87,1492.34,
4664847,7.748094239,7.55E-06,5.52,1.7,0.56,CONFIRMED,1,0.24,0.012,0.9,0.62,
3642741,7.258450123,3.90E-06,5.53,1.59,0.53,CONFIRMED,1,12.77,0.527,0.85,904.98,12.647
10905239,3.487688776,1.11E-06,5.64,0.83,1.35,CONFIRMED,1,0.44,0.001,2,0.93,
11554435,9.43414171,2.14E-05,5.73,0.78,0.33,CONFIRMED,0.999,5.46,7.454,0.74,234.12,5.407
10395543,3.687469832,3.90E-07,5.78,0.22,0.34,CANDIDATE,1,46.8,0.134,1.26,6485.14,46.658
3847907,3.573202801,9.00E-07,5.81,1.6,0.94,CONFIRMED,1,0.24,0.003,0.93,0.6,
5629353,7.5844241,0.0002854,5.83,1.78,1.59,CONFIRMED,1,4.69,0.159,0.9,137.13,
6124941,5.670155713,5.44E-06,5.85,2.81,1.22,CANDIDATE,1,4.43,0.006,2,61.88,
10281221,0.582895412,2.60E-07,5.87,1.74,0.74,CANDIDATE,1,0.27,0.006,0.72,1.02,
3218908,1.475323222,4.39E-06,5.88,0.85,1.97,CONFIRMED,0.993,0.87,0.001,0.83,7.11,
11624249,1.82708193,4.70E-07,5.95,3.57,3.56,CONFIRMED,1,0.37,0.003,0.93,1.31,
3869014,8.63847391,3.52E-05,5.99,1.17,2.19,CONFIRMED,1,0.61,0.004,0.78,4.04,
11812062,3.728732147,9.36E-07,6.02,1.22,0.52,CONFIRMED,1,0.34,0.008,0.89,1.19,
5881688,4.190425659,1.61E-06,6.21,2.05,0.82,CONFIRMED,1,0.31,0.004,0.84,1.06,
8429817,6.263491873,7.32E-06,6.46,1.78,1.46,CANDIDATE,1,5.83,0.474,0.7,287.7,
6300348,5.69590202,1.59E-06,6.61,2.13,0.71,CANDIDATE,1,16.4,0.096,0.8,1538.95,16.295
3937519,3.413036353,6.26E-07,6.62,1.37,1.12,CONFIRMED,1,1330.94,0.003,0.88,4056387.17,
5386904,4.8591441,0.0001155,6.9,2.23,0.96,CANDIDATE,1,0.38,0,0.71,1.93,
7730747,4.034914368,2.55E-06,6.95,1.68,3.13,CANDIDATE,1,0.26,0.002,0.97,0.66,
8039892,5.007316661,1.39E-06,6.96,1.75,0.62,CONFIRMED,1,8.26,0.026,0.83,424.24,
9047416,9.011888,0.001624,7.04,1.58,2.93,CANDIDATE,0.999,6.12,0.096,0.95,210.7,
11673802,5.28790754,1.13E-05,7.1,0.35,0.96,CONFIRMED,1,0.59,0.001,1.24,2.31,
8554498,4.780327581,8.52E-07,7.14,0.52,0.31,CANDIDATE,1,2.61,0,0.69,67.04,
12120943,8.98128472,2.07E-05,7.19,1.95,0.78,CANDIDATE,0.978,0.23,0.455,0.81,0.65,
6507433,4.7425521,2.57E-05,7.27,2.47,0.82,CANDIDATE,1,4.63,18.737,0.82,150.56,
6628926,2.564012541,1.00E-10,7.27,2.07,2.07,CANDIDATE,1,0.46,0.29,0.76,2.48,
5683743,4.147021189,8.93E-07,7.31,1.99,1.62,CONFIRMED,0.922,0.67,0.004,0.82,4.44,
5008245,2.60720833,1.82E-05,7.31,2.47,1.06,CANDIDATE,1,0.23,0,0.7,0.8,
4275191,3.895936525,7.71E-07,7.34,1.53,0.65,CONFIRMED,1,0.33,0.018,0.93,1.07,
4076098,3.990105908,1.43E-06,7.45,2.18,0.73,CONFIRMED,1,0.23,0.013,0.96,0.53,
3218908,4.15246118,1.58E-05,7.62,1.09,2.55,CONFIRMED,1,0.87,0.001,0.83,7.11,
8216763,6.33342309,9.86E-05,7.62,0.69,0.62,CANDIDATE,0.804,34.92,0.734,1.17,4069.39,
6305192,8.025118521,3.17E-06,7.79,1.37,1.37,CONFIRMED,1,9.07,0.034,0.81,519.27,8.985
5731623,3.261759866,1.17E-06,8.01,2.66,0.89,CANDIDATE,1,0.25,0.008,0.83,0.73,
5695615,5.4169303,0.0001099,8.17,2.72,0.91,CANDIDATE,0.978,0.34,0.002,0.74,1.49,
9643874,8.027681123,1.97E-06,8.43,2.25,0.75,CONFIRMED,1,0.24,0.003,0.89,0.63,
3749365,1.97376085,9.90E-08,8.78,1.43,2.13,CONFIRMED,0.998,18.3,1.301,1.09,1346.75,18.293
10158418,5.007414194,1.16E-06,8.8,1.42,0.71,CANDIDATE,0.999,4.53,2.271,0.74,164.47,4.494
7585481,8.09888906,2.18E-06,8.95,2.94,0.98,CONFIRMED,1,0.35,0.013,0.72,1.64,
5651104,3.04033046,3.37E-07,8.99,0.8,0.99,CONFIRMED,1,56.85,0.077,1.1,10420.62,
7832356,7.886632468,3.48E-06,8.99,2.64,1.76,CONFIRMED,1,14.82,1.168,2,555.99,14.965
6849046,4.225384543,2.69E-07,9,1.42,0.77,CONFIRMED,0.998,310.98,0.002,0.85,303322.33,
11046458,3.311864148,3.55E-07,9.06,1.16,0.33,CONFIRMED,1,0.54,0.013,0.9,2.71,
8260218,5.714817603,1.25E-06,9.29,2.47,0.99,CANDIDATE,1,13.26,0.062,0.9,917.73,13.185
7377343,7.95445779,3.50E-05,9.5,3,1.62,CANDIDATE,1,2.05,0,0.78,36.27,
9141746,6.491682808,1.69E-06,9.66,3.27,1.31,CONFIRMED,1,0.24,0.005,0.81,0.71,
3351888,1.625522174,1.58E-07,9.73,1.41,1.42,CONFIRMED,1,29.27,0.037,0.95,3625.95,30.292
6309763,3.251659087,3.66E-07,9.83,3.04,1.21,CANDIDATE,1,5.12,0.001,0.68,237.14,
10264660,6.790120801,1.91E-06,9.86,0.72,0.36,CONFIRMED,0.994,2.61,0.001,2,23.65,
6525946,0.496069986,1.64E-06,10,3.79,1.26,CANDIDATE,0.994,1.74,0.002,0.79,26.74,
9410930,1.855557556,7.90E-08,10.05,0.59,0.66,CONFIRMED,1,57.52,0.004,0.81,14903.29,
5357901,3.797018259,1.87E-07,10.07,0.75,0.47,CONFIRMED,0.995,17.41,0.01,0.96,1398.92,36.955
7051180,1.951082219,3.89E-06,10.35,0.77,1.25,CANDIDATE,1,2.23,0.13,0.9,35.53,
8359498,3.578780566,1.83E-07,10.43,0.62,0.62,CONFIRMED,0.999,60.85,0.007,0.83,15895.96,
757450,8.884922995,1.64E-06,10.51,0.56,0.57,CONFIRMED,0.999,19.29,2.456,0.97,1659.95,19.375
8544996,4.082274889,2.47E-07,10.55,2.4,0.87,CONFIRMED,0.997,25.35,0.012,0.77,3583.99,24.865
8255887,4.708326451,7.30E-07,10.6,2.85,2.56,CONFIRMED,1,0.3,0.01,0.97,0.85,
5794240,2.455240626,1.11E-07,10.6,0.43,0.71,CONFIRMED,0.999,15.77,6.03,1.41,814.97,15.805
5531953,3.53105835,1.88E-05,10.61,1.16,1.42,CANDIDATE,0.944,48.39,0.174,1.41,6265.66,24.305
11359879,4.942783419,2.47E-07,10.62,1.44,0.73,CONFIRMED,0.996,146.26,0.002,0.83,78531.44,
7778437,5.014234733,8.59E-07,10.63,3.57,1.53,CONFIRMED,1,2.49,0.003,0.63,72.83,
7833305,8.31224474,5.62E-05,10.63,1.98,1.49,CANDIDATE,0.996,14.05,0.001,0.84,1104.65,
3338885,5.05821338,4.74E-06,10.69,6.94,6.3,CANDIDATE,1,38.88,0.029,1.13,5096.42,39.707
6696462,3.403743926,2.89E-06,10.77,2.74,0.98,CANDIDATE,1,0.37,0.002,0.87,1.42,
3762468,3.003879547,3.58E-06,10.96,3.52,1.17,CONFIRMED,1,3.06,1.482,0.8,73.41,3.054
9944201,0.721522907,4.30E-08,11.04,0.97,0.88,CANDIDATE,0.705,0.72,0.34,0.98,4.15,
5441980,5.89399142,1.11E-06,11.16,1.2,0.46,CANDIDATE,1,13.13,2.993,0.77,1077.98,13.147
3935914,1.594745374,1.13E-07,11.3,3.09,1.33,CONFIRMED,1,16.43,0.086,0.79,1566.71,16.493
11502867,3.217518511,1.75E-07,11.38,1.51,0.93,CONFIRMED,1,0.76,0.008,0.76,6.25,
5358624,3.525632539,1.50E-07,11.58,0.9,0.48,CONFIRMED,0.99,0.91,0.007,0.99,6.31,
9115800,4.454194254,3.36E-07,11.76,3.12,1.77,CONFIRMED,1,29.76,0.011,2,1975.07,31.61
5475431,0.917568975,5.10E-07,11.92,2.89,0.96,CANDIDATE,0.733,0.91,5.892,0.74,9.01,0.913
10221013,7.189379172,1.60E-06,11.94,3.85,1.54,CANDIDATE,1,19.51,0.096,0.87,1921.12,19.508
7380537,2.688899233,1.90E-07,12.04,1.36,0.79,CANDIDATE,0.997,9,9.608,1.05,383.68,9.015
10272640,3.770551475,4.87E-06,12.05,4.08,1.35,CONFIRMED,1,4.07,3.288,2,53.04,4.035
9818381,3.024092505,2.25E-07,12.14,0.79,0.95,CONFIRMED,1,12.86,0.059,0.7,1209.56,12.851
11138155,4.959319244,5.15E-07,12.21,1.96,1.46,CANDIDATE,1,0.25,0.002,0.74,0.86,
11414511,2.816504904,1.65E-07,12.21,1.62,0.87,CONFIRMED,1,24.36,0.123,0.88,2819.77,24.066
6525946,2.508116,1.45E-05,12.28,4.64,1.55,CANDIDATE,0.98,1.74,0.002,0.79,26.74,
9305831,3.246732048,3.94E-07,12.4,1.03,0.93,CONFIRMED,1,0.24,0.006,0.9,0.62,
5282049,5.910371418,7.05E-07,12.62,3.84,1.28,CANDIDATE,0.926,8.74,3.528,0.77,515.23,
9631995,7.891448838,5.06E-07,12.63,2.13,1.42,CONFIRMED,0.988,5.48,0.007,0.68,265.06,
9651668,2.684328541,8.20E-08,12.73,1.6,1.45,CONFIRMED,0.995,88.59,0.01,2,14353.2,22.047
7017372,5.24088367,2.28E-05,12.74,3.85,2.57,CANDIDATE,1,0.4,0,0.68,2.27,
9595827,3.905081685,3.52E-07,12.78,0.85,0.52,CONFIRMED,0.999,19.69,0.732,0.91,1857.47,19.768
5376836,3.479425638,2.85E-06,12.86,3.63,1.22,CANDIDATE,0.876,3.61,6.849,0.77,103.77,
12019440,3.24325988,2.09E-07,12.91,2.11,0.91,CONFIRMED,0.998,21.34,0.005,0.77,2611.41,
3861595,3.849371737,2.34E-06,12.94,1.8,4.2,CANDIDATE,1,5.66,0.02,0.61,347.43,
11446443,2.470613377,2.70E-08,13.04,0.51,0.51,CONFIRMED,0.811,2.47,0.003,0.67,64.13,
10874614,3.234699282,1.19E-07,13.06,0.96,0.96,CONFIRMED,0.987,17.76,0.003,2,772.62,
5728139,5.334082429,1.33E-06,13.08,2.45,3,CONFIRMED,1,23.93,0.001,0.78,3188.36,
7849854,2.052349884,1.37E-07,13.12,2.01,1.18,CONFIRMED,1,15.22,0.065,0.89,1194.35,14.979
7877496,1.72086129,7.10E-08,13.25,0.85,1.05,CONFIRMED,1,17.2,0.019,0.75,1835.87,17.343
4570949,1.544928892,6.30E-08,13.43,2.41,2.42,CONFIRMED,1,1.46,0.002,0.64,26.53,
10418224,6.8731664,2.17E-06,13.44,1.02,1.12,CONFIRMED,1,0.45,0.006,0.74,2.47,
9166862,3.855603916,3.68E-07,13.61,3.8,1.35,CONFIRMED,0.999,3.9,0.004,0.81,112.11,
10555365,5.80184753,1.06E-05,14,3.83,2.06,CANDIDATE,1,7.32,1.797,1.06,261.8,
10904857,3.120828136,1.99E-06,14.16,4.43,1.48,CONFIRMED,0.802,4,4.842,0.7,144.37,
6046540,7.340714946,8.05E-07,14.31,0.88,1.34,CONFIRMED,0.998,15.51,0.002,0.78,1456.79,
10619192,1.485710994,9.50E-08,14.48,0.88,0.88,CONFIRMED,1,12.1,8.019,0.81,876.99,12.159
6922244,3.522498429,1.98E-07,14.59,1.11,1.11,CONFIRMED,0.998,3.88,0.001,0.62,169,
5443837,3.65849707,6.13E-06,14.61,2.26,3.39,CANDIDATE,1,4.22,2.502,2,56.65,4.129
11197853,0.698461304,1.76E-06,14.81,2.71,3.3,CANDIDATE,1,0.24,0.007,0.92,0.6,
8191672,3.548465446,1.83E-07,14.92,1.08,1.31,CONFIRMED,0.754,2.35,0.001,2,19.54,
11517719,2.495780169,1.82E-06,15.75,4.7,2.02,CONFIRMED,0.92,2.48,5.035,0.63,72.07,
6603756,5.204286663,6.14E-06,16,2.56,2.11,CANDIDATE,0.921,5.92,102.579,0.98,192.55,
10666592,2.204735417,4.30E-08,16.1,0.81,0.91,CONFIRMED,1,2.2,0.002,2,17.33,
11017901,7.794302043,1.96E-06,16.51,2.16,1.76,CONFIRMED,1,6.49,7.536,0.72,331.08,6.459
5780885,4.885488596,2.66E-07,16.66,1.04,0.7,CONFIRMED,0.999,517.27,0.001,0.67,1067070.75,
4055765,9.9664004,1.22E-05,16.89,2.15,4.29,CANDIDATE,1,1.11,0.009,0.67,14.9,1.131
10019708,3.268695042,2.62E-07,16.91,2.61,3.92,CONFIRMED,0.999,2.83,0.006,0.72,72.9,
11804465,4.437962934,1.71E-07,18.05,2.92,3.57,CONFIRMED,0.761,6.35,0.004,0.67,356.07,
5986270,1.534679933,1.61E-06,18.39,4.53,6.79,CANDIDATE,1,1.51,0.008,1.29,12.33,
10232123,1.343767797,3.20E-07,18.66,3.99,9.3,CANDIDATE,0.964,1.34,0.068,2,7.04,
11282568,1.320499473,5.78E-06,18.94,3.99,9.98,CANDIDATE,1,0.28,0.007,0.97,0.75,
11092783,5.15998178,5.10E-05,19.07,0.85,0.75,CANDIDATE,1,2.89,17.875,2,28.46,2.893
9580167,0.827151296,3.96E-06,19.1,5.15,0.91,CANDIDATE,1,0.47,0.409,0.96,1.95,
7174617,1.608363345,3.60E-07,19.36,1.34,1.22,CANDIDATE,0.869,1.6,24.131,0.84,20.99,
11565544,3.76562031,1.13E-05,19.39,5.21,1.73,CANDIDATE,0.998,25.1,0.169,0.84,3167.89,25.657
11918099,7.2406612,1.62E-05,19.45,1.4,0.71,CANDIDATE,0.993,0.34,0.009,0.99,1.05,
5196864,2.50343279,1.00E-05,20.23,2.7,2.43,CANDIDATE,1,2.9,0.434,0.98,52.38,
6699368,3.690317047,3.99E-06,20.23,6.41,2.74,CANDIDATE,0.874,16.82,0.008,0.72,1870.26,
7622486,2.27999662,1.07E-06,20.74,5.52,6.75,FALSEPOS,0.957,6.82,0.907,2,135.59,
6525946,6.78341325,2.39E-05,20.75,7.85,2.62,CANDIDATE,0.999,1.74,0.002,0.79,26.74,
7765528,9.3888216,0.0001653,20.91,3.59,3.27,CANDIDATE,0.842,5.59,2.641,0.82,211.76,5.59
10384962,2.879243323,1.19E-06,21.02,6.13,2.04,CANDIDATE,0.691,3.09,10.114,0.65,101.94,
5391911,0.782068488,1.00E-10,21.02,1.14,4.56,CANDIDATE,0.558,0.66,0.006,1.4,2.57,
9098590,2.243569483,2.49E-07,21.11,4.48,2.24,CANDIDATE,0.658,2.24,1.196,0.72,47.76,
9941662,1.763587535,4.20E-08,21.42,6.33,9.48,CONFIRMED,0.875,0.87,0.001,2,3.21,
10971674,2.380862632,1.16E-07,21.65,6.01,4.35,CANDIDATE,0.565,2.38,0.14,0.71,54.58,
9724993,7.863361238,1.10E-06,22.7,3.38,5.07,CANDIDATE,0.973,11.35,1.505,0.78,815.84,
12557548,0.65355361,1.65E-07,22.95,1.88,1.88,CONFIRMED,0.761,22.85,5.851,1.13,1948.57,
8949316,0.604358764,1.49E-06,23.28,1.69,2.08,CANDIDATE,0.955,1.21,0.208,1.29,8.26,
8256453,1.347512632,1.11E-06,23.45,2.46,2.47,CANDIDATE,1,2.68,0.069,0.93,47.87,2.698
8197406,4.15472242,1.22E-05,23.47,2.69,8.1,CANDIDATE,1,2.46,0.567,0.57,89.81,
4673628,3.951383138,6.25E-06,23.51,5.67,3.06,CANDIDATE,0.838,0.29,0.002,0.87,0.91,
6707908,2.466070972,3.83E-06,24.3,7.12,2.37,CANDIDATE,0.998,1.12,0.004,0.91,10.05,
5716244,1.330333096,2.82E-07,24.3,6.62,2.36,CANDIDATE,0.672,1.33,6.315,0.78,16.74,
9705459,2.48658617,2.40E-06,24.39,7.64,3.28,CANDIDATE,0.867,2.82,45.348,0.88,56.07,
4840513,2.379282197,4.06E-07,25.74,8.17,2.93,CANDIDATE,0.759,2.44,1.429,0.76,51.55,
10332213,2.522590567,6.82E-06,25.82,6.66,2.23,CANDIDATE,1,0.57,0.005,0.85,3.17,
7107567,0.812592362,1.39E-06,25.84,7.59,5.53,CANDIDATE,0.568,0.81,0.009,0.59,11.01,
5795648,4.553370029,7.69E-07,25.84,5.69,3.77,CANDIDATE,0.802,4.48,0.278,0.64,209.28,
10295951,6.810823723,1.01E-06,26.06,6.36,9.53,CANDIDATE,0.871,3.38,0.136,0.59,148.51,
7529266,8.600153929,1.53E-06,26.52,3.6,9.36,CONFIRMED,0.999,2.47,0.003,0.66,66.72,
10534155,4.32710895,1.76E-05,26.6,9.95,12.16,CANDIDATE,0.994,4.55,0.084,0.77,158.62,
4150611,0.761119678,3.67E-06,27.81,6.87,11.17,CANDIDATE,1,8.65,2.673,2,208.89,
6509282,3.98916186,2.03E-05,28.1,1.82,10.33,CANDIDATE,1,0.26,0.015,1.23,0.52,
8435247,0.696125302,3.15E-07,28.44,3.25,2.66,CANDIDATE,0.974,0.7,4.289,0.88,4.43,
10735988,1.927177921,7.83E-07,28.94,3.29,3.29,CANDIDATE,0.644,1.92,100.465,0.97,25.07,
10028352,1.38680229,8.76E-07,29.33,7,5.25,CANDIDATE,1,1.75,0.095,0.66,35.37,
12307496,0.805941833,8.19E-07,29.85,3.11,2.84,CANDIDATE,1,0.8,1.256,0.98,5.04,0.809
3246984,1.626630225,1.02E-06,32.43,9,4.83,CANDIDATE,0.773,0.31,0.01,0.9,0.99,
12367464,1.853209359,4.49E-07,32.99,8.44,12.65,CANDIDATE,0.991,1.87,0.377,2,12.9,
8479107,0.76757669,1.15E-07,34.23,2.73,2.73,CANDIDATE,0.67,0.77,77.519,0.84,5.58,
9596187,0.953299962,1.82E-07,35.67,10.46,5.21,CANDIDATE,0.669,0.95,0.01,0.72,10.17,
10004772,1.391716834,9.15E-06,36.19,9.36,1.11,CANDIDATE,0.996,12.08,126.752,2,383.39,
9655129,2.743978797,9.48E-06,38.11,5.7,5.17,CANDIDATE,0.554,2.72,138.73,0.79,59.55,
11911561,8.870415578,9.02E-06,39.46,11.1,16.68,CANDIDATE,1,8.74,1.582,2,212.86,
9635520,2.3518268,0.0007684,39.82,8.72,13.09,CANDIDATE,0.779,0.11,0,0.89,0.15,
7215678,1.151244686,1.52E-06,40.32,12.6,4.21,CANDIDATE,1,13.8,0.088,0.79,1148.45,13.842
7941635,0.762724045,1.11E-07,41.02,11.64,7.15,CANDIDATE,0.768,0.76,0.123,0.89,5.08,
4282390,1.96134311,1.13E-05,41.53,7.99,9.77,CANDIDATE,0.998,1.84,0.003,0.65,40.06,1.809
9593528,1.88665445,8.63E-05,43.81,13.01,9.75,CANDIDATE,1,1.88,0.016,0.79,30.47,
7967100,1.92730001,2.72E-06,45.99,14.01,7.54,CANDIDATE,0.791,1.93,0.265,0.78,32.78,
6452742,0.687772143,7.90E-08,46.27,12.01,8.03,CANDIDATE,0.61,1.37,0.52,0.81,16.71,
6762188,7.155547398,7.80E-06,48.93,15.83,29.41,CANDIDATE,1,0.32,0.026,1.24,0.76,
5903301,1.160153553,1.57E-07,60.47,16.98,16.98,CANDIDATE,0.813,1.13,0.706,0.88,10.7,
10157573,5.115750935,7.83E-06,60.74,19.15,6.84,CANDIDATE,0.761,5.04,0.012,0.74,202.41,
8110757,0.518060209,3.75E-06,61.49,38.97,38.97,CANDIDATE,0.975,0.52,0.001,0.95,2.39,
8218274,1.187352427,2.53E-07,67.35,20.04,16.42,CANDIDATE,0.557,1.19,0.767,2,5.67,
10468514,0.84986054,1.86E-05,67.45,41.25,33.77,CANDIDATE,0.701,0.85,0.003,0.97,5.72,
5033823,0.741768294,1.19E-06,72.36,16.6,30.84,CANDIDATE,1,0.85,0.001,0.67,9.24,
8560475,7.41505161,2.71E-05,91.09,4.01,34.07,CANDIDATE,1,0.32,0.011,1.19,0.79,
6199056,1.169010526,1.29E-06,91.91,16,29.73,CANDIDATE,0.997,1.29,0.001,0.68,19.29,1.337
5397166,1.811966339,5.66E-06,95.19,19.19,61.44,CANDIDATE,0.998,168.16,28.141,1.01,82031.56,
8397675,0.553261874,9.30E-08,97.36,29.1,67.89,CANDIDATE,0.762,0.55,0.005,0.99,2.51,
8330207,1.63668262,1.05E-05,103.99,36.36,48.47,CANDIDATE,1,0.19,0.013,1.18,0.31,
5131276,0.66882716,2.39E-05,124.42,11.14,63.17,CANDIDATE,0.928,91.08,12.82,1.88,15771.67,
11180361,0.533059312,1.00E-10,133.56,25.98,77.91,CANDIDATE,1,0.54,0.012,2,1.35,
11192141,1.353771892,3.75E-06,430.99,136.1,48.62,CANDIDATE,1,1.25,0.098,2,6.2,
4743508,2.086076372,1.07E-06,1543.74,401.5,401.4,CANDIDATE,0.692,2.08,12.868,0.77,38.29,
