# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 29 06:38:00 2018
#
# CONSTRAINT:  where (koi_pdisposition like 'CANDIDATE'
# CONSTRAINT:  and koi_period < 16
# CONSTRAINT:  and koi_prad > 4
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
522,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.641567589,135.4075640,0.0270,3.41018,2.2697e+03,4.91,899.0,154.25,437.50,2,q1_q17_dr25_tce,5356.00,4.338,1.0550,298.079440,44.746319,13.549
5972,1873513,K04928.01,Kepler-1624 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,3.290304098,131.9094400,0.0900,1.72150,1.3553e+04,4.91,540.0,20.06,220.50,1,q1_q17_dr25_tce,3386.00,4.810,0.4270,292.579860,37.376411,15.669
7649,8566113,K07061.01,,CANDIDATE,CANDIDATE,,0,0,0,0,1.371587993,131.8050600,0.9829,12.90100,4.5610e+02,4.91,2413.0,8016.36,43.30,2,q1_q17_dr24_tce,7045.00,4.154,1.6040,294.201450,44.639839,13.104
131,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,15.335286750,174.0027800,0.7730,3.89700,3.0814e+03,5.00,610.0,32.67,86.60,2,q1_q17_dr25_tce,5251.00,4.581,0.8170,292.236760,41.085880,15.855
597,3247268,K01089.02,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,12.218280970,140.3210950,0.7780,2.69690,1.8434e+03,5.10,835.0,114.59,90.10,2,q1_q17_dr25_tce,5822.00,4.351,1.0810,294.433500,38.355450,14.696
5583,11187436,K01804.01,Kepler-957 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.907414760,133.9351100,0.1770,1.01600,5.5690e+03,5.10,769.0,82.73,7.20,1,q1_q17_dr25_tce,4963.00,4.585,0.6900,290.156340,48.818989,15.625
484,12105051,K00141.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,2.624234833,132.3049880,0.7810,1.38740,2.6070e+03,5.11,1164.0,434.31,361.10,1,q1_q17_dr25_tce,5340.00,4.514,0.8990,288.038300,50.651611,13.687
1621,9872283,K01815.01,Kepler-960 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.126861192,133.7249590,0.6030,1.19260,7.9460e+02,5.12,1391.0,886.72,94.60,1,q1_q17_dr25_tce,4854.00,3.939,1.7490,281.457180,46.746471,13.884
2537,8892303,K02688.01,Kepler-1314 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.424749327,133.7289520,0.0160,1.13900,7.6800e+03,5.15,625.0,36.05,78.00,1,q1_q17_dr25_tce,4137.00,4.658,0.5910,294.237640,45.197105,16.406
3407,5786676,K00650.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,11.954745130,178.7216940,0.6010,2.14330,9.0340e+02,5.15,906.0,159.04,96.30,1,q1_q17_dr25_tce,5059.00,3.976,1.6570,290.396180,41.040081,13.594
361,2307199,K00151.01,,CANDIDATE,CANDIDATE,0.7520,0,0,0,0,13.447179100,132.8305550,0.9630,3.04540,1.4282e+03,5.24,848.0,122.34,105.30,1,q1_q17_dr25_tce,6276.00,4.405,1.0410,292.374760,37.630959,14.000
66,11960862,K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,6.575315881,173.6340440,0.3900,4.30840,2.7933e+03,5.31,1015.0,251.38,221.10,1,q1_q17_dr25_tce,5992.00,4.415,0.9890,290.098050,50.321609,15.312
150,6392727,K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.583520948,169.9739720,0.0450,2.70550,3.8121e+03,5.39,1038.0,274.98,99.50,1,q1_q17_dr25_tce,5815.00,4.540,0.8770,299.186860,41.742680,15.287
7228,7908367,K06166.01,Kepler-1642 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.206430400,134.0530000,0.1040,2.40700,1.3372e+03,5.41,895.0,151.44,16.20,2,q1_q17_dr25_tce,5254.00,4.050,1.5140,297.212160,43.643719,14.130
5222,10788461,K03925.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,9.207563400,135.8010000,0.8980,3.36500,1.2431e+03,5.50,972.0,211.08,43.40,1,q1_q17_dr25_tce,5678.00,4.215,1.3030,288.162510,48.165150,14.026
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.748094239,174.9972060,0.5170,3.59570,2.4721e+03,5.52,964.0,204.39,113.20,1,q1_q17_dr25_tce,5973.00,4.439,1.0850,294.489900,39.771439,15.670
2218,3642741,K00242.01,Kepler-503 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.258450123,138.3446910,0.0500,5.72970,3.7147e+03,5.53,880.0,141.30,288.60,1,q1_q17_dr25_tce,5638.00,4.513,0.9200,290.636510,38.707668,14.747
2630,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.487688776,170.9322170,0.0260,3.83661,1.2988e+03,5.64,1445.0,1033.07,350.60,1,q1_q17_dr25_tce,5576.00,4.065,1.5930,283.255490,48.355232,13.770
1747,4833421,K00232.01,Kepler-122 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.466004437,134.0032580,0.2090,5.00660,2.2321e+03,5.65,897.0,152.76,304.60,1,q1_q17_dr25_tce,6038.00,4.284,1.1910,291.111880,39.949108,14.247
2653,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,9.434141710,177.8434600,0.5380,2.81120,3.9770e+03,5.73,791.0,92.39,40.20,1,q1_q17_dr25_tce,5578.00,4.518,0.8860,289.226170,49.548199,11.582
1085,6543893,K01627.01,Kepler-913 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,10.296740970,132.1945300,0.2980,2.72920,1.0118e+03,5.75,1129.0,384.86,31.30,1,q1_q17_dr25_tce,6068.00,4.040,1.7970,297.583130,41.952431,15.767
2000,11391755,K02639.02,,CANDIDATE,CANDIDATE,,0,0,0,0,2.121023807,170.8500400,1.0045,0.36730,2.6390e+02,5.75,1573.0,1446.50,6.40,,,6133.00,4.367,1.1120,285.365170,49.201561,15.527
2991,10395543,K00531.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,3.687469832,170.8803594,0.9190,1.06680,5.0576e+03,5.78,690.0,53.60,363.90,1,q1_q17_dr25_tce,4004.00,4.659,0.6060,287.691190,47.546902,14.418
1929,3847907,K00229.01,Kepler-497 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.573202801,134.9343970,0.0530,2.88000,2.9750e+03,5.81,1210.0,507.91,362.10,1,q1_q17_dr25_tce,5646.00,4.370,1.0800,290.765870,38.927959,14.720
7087,5629353,K06132.02,Kepler-1640 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.584424100,137.8470000,0.8150,3.91800,1.0050e+03,5.83,1228.0,537.40,23.80,2,q1_q17_dr25_tce,6264.00,4.133,1.6510,294.557890,40.850498,14.624
416,6124941,K01058.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,5.670155713,136.2017390,1.2670,0.93610,5.3670e+02,5.85,341.0,3.21,37.30,1,q1_q17_dr25_tce,3337.00,5.126,0.1830,292.261810,41.442554,13.783
5202,10281221,K03913.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,0.582895412,131.6210830,1.0110,1.05280,5.8750e+02,5.87,2347.0,7152.60,87.00,1,q1_q17_dr25_tce,6263.00,4.460,1.0090,294.612520,47.343262,14.972
356,3218908,K01108.02,Kepler-770 c,CONFIRMED,CANDIDATE,0.9930,0,0,0,0,1.475323222,131.8327200,0.1360,2.31550,1.5490e+02,5.88,2740.0,13331.51,27.20,3,q1_q17_dr25_tce,4941.00,3.317,4.8850,286.490420,38.374908,14.604
566,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,14.858908520,128.1548690,0.2550,3.52520,3.2690e+03,5.94,720.0,63.52,456.80,1,q1_q17_dr25_tce,5356.00,4.338,1.0550,298.079440,44.746319,13.549
2926,11624249,K00356.01,Kepler-536 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,1.827081930,170.5258300,0.0330,1.96401,1.1647e+03,5.95,1877.0,2925.17,273.70,1,q1_q17_dr25_tce,5311.00,3.864,1.7690,297.736390,49.637150,13.807
497,3869014,K01205.01,Kepler-789 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.638473910,139.9468400,0.0490,5.45660,3.9590e+02,5.99,1419.0,958.35,38.60,1,q1_q17_dr25_tce,5684.00,3.657,3.0460,295.975160,38.946640,14.507
58,11812062,K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.728732147,171.7932550,0.5580,2.68300,5.2265e+03,6.02,1023.0,258.34,345.20,1,q1_q17_dr25_tce,5497.00,4.577,0.8090,290.785740,50.054119,15.523
3263,9703198,K00469.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,10.329065630,174.6082130,0.9230,1.44000,2.3098e+03,6.17,908.0,160.44,114.80,1,q1_q17_dr25_tce,6228.00,4.441,1.0490,288.637850,46.421471,14.711
7585,7811211,K06918.01,,CANDIDATE,CANDIDATE,,0,0,0,0,0.902403563,131.8272730,0.8925,1.71290,4.7595e+03,6.17,1688.0,1919.35,220.30,1,q1_q17_dr24_tce,5776.00,4.599,0.7550,287.570620,43.531738,14.596
157,5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.190425659,171.4412200,0.4580,2.85890,2.8774e+03,6.21,1234.0,547.90,240.60,1,q1_q17_dr25_tce,6073.00,4.392,1.1350,293.496610,41.137589,15.270
6739,8429817,K05515.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,6.263491873,134.8979060,0.0480,0.85130,2.8290e+03,6.46,1180.0,458.50,35.10,1,q1_q17_dr25_tce,6247.00,4.255,1.1940,291.452270,44.431751,13.952
1633,6300348,K00212.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,5.695902020,139.2316370,0.0490,3.56610,4.9211e+03,6.61,1043.0,279.61,391.20,1,q1_q17_dr25_tce,6106.00,4.497,0.9400,296.139800,41.603180,14.858
1438,3937519,K00221.01,Kepler-495 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.413036353,132.4430540,0.0460,2.61366,3.8687e+03,6.62,1200.0,490.24,480.70,1,q1_q17_dr25_tce,5392.00,4.314,1.0870,285.930690,39.098141,14.622
5441,5386904,K03813.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.859144100,132.6666000,0.9320,3.85880,2.1836e+03,6.90,1303.0,681.41,81.60,1,q1_q17_dr25_tce,6586.00,4.361,1.2070,297.949220,40.530708,14.113
3329,7730747,K00684.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.034914368,172.2578130,0.9650,1.78740,8.0010e+02,6.95,1452.0,1052.15,92.60,1,q1_q17_dr25_tce,5548.00,3.964,1.7930,281.290280,43.413342,13.831
232,8039892,K00903.01,Kepler-719 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,5.007316661,173.4339970,0.3440,4.23620,6.9323e+03,6.96,998.0,234.28,431.40,1,q1_q17_dr25_tce,5865.00,4.563,0.8270,295.536130,43.884449,15.813
6600,9047416,K05605.01,,CANDIDATE,CANDIDATE,0.9990,0,0,0,0,9.011888000,138.6580000,0.9480,4.16700,9.8760e+02,7.04,1105.0,351.97,15.50,1,q1_q17_dr25_tce,5627.00,4.002,1.7350,299.191710,45.343540,14.321
