# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue May 29 07:22:27 2018
#
# CONSTRAINT:  where (epic_name like '%EPIC%'
# CONSTRAINT:  and k2c_refdisp not like 'false positive'
# CONSTRAINT:  and k2c_recentflag = 1
# CONSTRAINT:  and pl_orbper < 16
# CONSTRAINT:  and pl_rade > 4
# CONSTRAINT:  )
# CONSTRAINT:  order by epic_name asc
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_ratdor,pl_ratror,pl_rade,st_rad,st_kep,st_k2
123,EPIC 201546283,EPIC 201546283.01,K2-27 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,1,1,11h26m03.64s,171.515167,+01d13m50.7s,1.230738,6.77138900,2456812.844690,18.214701,0.04911,4.580,0.86,12.428,10.704
134,EPIC 201563164,EPIC 201563164.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h48m33.61s,177.140030,+01d28m59.3s,1.483144,0.18746328,2456810.308000,,0.12360,217.000,17.27,17.292,
136,EPIC 201565013,EPIC 201565013.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h47m58.12s,176.992188,+01d30m36.9s,1.510249,8.63829000,2456811.427540,,0.14080,6.810,0.44,16.907,14.084
139,EPIC 201569483,EPIC 201569483.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h08m41.11s,167.171295,+01d34m39.0s,1.577513,5.79688610,2456813.313000,,0.32320,24.200,0.72,11.771,9.883
174,EPIC 201635569,EPIC 201635569.01,K2-14 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,1,11h52m13.69s,178.057022,+02d35m39.3s,2.594245,8.36879000,2456811.447000,23.050000,0.11100,7.520,,15.547,12.611
177,EPIC 201637175,EPIC 201637175.01,K2-22 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,1,11h17m55.88s,169.482819,+02d37m08.7s,2.619070,0.38108000,2456867.139000,3.190000,0.07600,4.810,,14.928,11.924
187,EPIC 201683540,EPIC 201683540.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h16m51.59s,169.214966,+03d21m49.9s,3.363874,1.96114690,2456812.176000,,0.08768,5.930,0.64,14.956,12.347
250,EPIC 202066192,EPIC 202066192.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h20m59.39s,95.247452,+26d07m31.4s,26.125380,3.29238180,2456774.826000,,0.10530,19.600,1.87,14.800,14.341
251,EPIC 202066537,EPIC 202066537.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h57m03.85s,104.266029,+18d37m36.3s,18.626740,6.90487000,2456768.191900,,0.34000,53.000,1.45,14.800,13.578
254,EPIC 202071289,EPIC 202071289.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h20m43.94s,95.183090,+24d54m15.6s,24.904341,3.04622000,2456768.262800,,0.30000,29.000,0.89,11.000,9.259
257,EPIC 202071635,EPIC 202071635.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h14m17.23s,93.571808,+18d37m37.3s,18.627020,6.27190920,2456775.430000,,0.37330,60.000,1.81,10.200,9.539
259,EPIC 202072596,EPIC 202072596.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h38m02.58s,99.510742,+20d56m21.5s,20.939310,3.97928700,2456772.894000,,0.21670,37.500,1.84,11.200,10.730
260,EPIC 202072965,EPIC 202072965.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h26m23.90s,96.599564,+27d56m44.2s,27.945601,2.14175190,2456772.766000,,0.55710,86.200,1.59,10.300,9.331
263,EPIC 202086291,EPIC 202086291.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h17m47.92s,94.449677,+25d36m09.3s,25.602570,2.43437340,2456774.131000,,0.63930,61.400,0.90,12.300,10.600
264,EPIC 202086968,EPIC 202086968.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h28m01.35s,97.005630,+16d23m19.9s,16.388849,1.84908760,2456772.183000,,0.24480,17.300,0.96,12.400,10.830
266,EPIC 202088212,EPIC 202088212.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h22m33.91s,95.641296,+14d44m30.4s,14.741770,2.62077000,2456769.677920,,0.40000,58.000,1.40,11.600,10.201
272,EPIC 202092480,EPIC 202092480.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h52m12.54s,103.052269,+25d20m20.7s,25.339090,2.84453310,2456772.339000,,0.57680,65.300,1.16,10.600,9.332
273,EPIC 202093020,EPIC 202093020.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h33m05.84s,98.274323,+16d52m12.9s,16.870239,4.13760470,2456774.311000,,0.09590,7.330,0.70,14.800,12.208
274,EPIC 202094740,EPIC 202094740.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,0,1,06h41m51.15s,100.463120,+27d05m49.9s,27.097200,0.68964700,2456775.197530,3.100000,0.05580,6.580,1.08,11.500,10.421
275,EPIC 202126847,EPIC 202126847.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,0,1,06h48m48.31s,102.201302,+17d09m42.9s,17.161909,4.16879220,2456774.070000,,0.18020,16.100,1.14,12.400,11.031
279,EPIC 202126852,EPIC 202126852.01,HAT-P-56 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,0,1,06h43m23.54s,100.848068,+27d15m08.2s,27.252291,2.79096300,2456768.508990,,0.08410,17.000,1.88,10.900,9.830
284,EPIC 202565282,EPIC 202565282.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h29m42.25s,247.426056,-29d12m06.2s,-29.201727,11.97495000,2456900.749710,,0.76000,256.000,3.40,15.112,11.899
287,EPIC 202675839,EPIC 202675839.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,2,1,16h15m22.10s,243.842102,-28d46m48.6s,-28.780161,15.46667400,2456898.848500,13.540111,0.12002,16.121,1.23,12.362,10.490
294,EPIC 202821899,EPIC 202821899.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,2,1,16h36m38.40s,249.160019,-28d14m20.6s,-28.239061,4.47451300,2456895.688040,13.497927,0.03372,8.169,2.22,12.577,10.805
295,EPIC 202843107,EPIC 202843107.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h22m11.47s,245.547791,-28d09m42.6s,-28.161823,2.19890410,2456896.495000,,0.60320,46.600,0.75,11.829,9.878
299,EPIC 202900527,EPIC 202900527.01,K2-51 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,2,1,16h27m14.68s,246.811157,-27d57m25.4s,-27.957048,13.00838300,2456905.757110,19.299148,0.10101,15.651,1.42,12.303,10.030
318,EPIC 203753577,EPIC 203753577.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h51m26.84s,252.861847,-25d03m12.3s,-25.053404,3.40077580,2456895.094000,,0.06863,5.570,0.89,11.106,9.477
326,EPIC 203776696,EPIC 203776696.01,K2-52 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,1,16h26m26.74s,246.611420,-24d58m11.8s,-24.969948,3.53482000,2456896.028000,,0.06810,11.100,1.49,15.037,11.853
344,EPIC 203929178,EPIC 203929178.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h49m41.45s,252.422714,-24d22m25.7s,-24.373808,1.15388600,2456893.581200,,0.53000,99.000,1.80,11.160,10.519
345,EPIC 203942067,EPIC 203942067.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h15m17.87s,243.824478,-24d19m09.2s,-24.319227,1.63989340,2456895.547000,,0.43920,33.000,0.79,12.080,10.342
360,EPIC 204489514,EPIC 204489514.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h03m01.61s,240.756729,-22d07m52.4s,-22.131222,10.22360000,2456893.641500,,0.61000,132.000,2.04,14.080,11.729
363,EPIC 204634789,EPIC 204634789.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016MNRAS.457.2273O target=ref>Osborn et al. 2016</a>,CANDIDATE,,2,1,16h31m47.26s,247.946930,-21d31m24.6s,-21.523508,2.20000000,2456921.016000,,0.08800,8.400,0.87,12.292,10.361
401,EPIC 205071984,EPIC 205071984.01,K2-32 b,CONFIRMED,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,1,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,8.99194200,2456900.926710,20.245164,0.05649,5.171,0.84,12.005,9.821
402,EPIC 205084841,EPIC 205084841.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h33m35.83s,248.399277,-19d28m45.1s,-19.479185,11.31009000,2456893.859200,,0.11900,130.000,10.00,15.605,12.612
417,EPIC 205463986,EPIC 205463986.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,1,16h06m06.63s,241.527634,-17d25m02.5s,-17.417355,2.32404890,2456895.914000,,0.46990,33.400,0.78,10.919,9.072
425,EPIC 205703094,EPIC 205703094.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,1,16h29m21.34s,247.338928,-15d38m48.3s,-15.646748,8.11910000,2456895.816900,,0.45000,57.000,1.20,12.514,10.361
430,EPIC 205924614,EPIC 205924614.01,K2-55 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,3,1,22h15m00.46s,333.751923,-17d15m02.5s,-17.250708,2.84927000,2456983.423000,10.440000,0.05600,4.400,,13.087,10.471
435,EPIC 205944181,EPIC 205944181.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,3,1,22h15m41.98s,333.924896,-16d33m48.7s,-16.563540,2.47564100,2456981.815170,7.536817,0.05583,5.023,0.82,12.410,10.648
447,EPIC 205996447,EPIC 205996447.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,3,1,22h38m54.39s,339.726624,-14d55m32.4s,-14.925673,0.80032756,2456980.092000,,0.36180,21.300,0.61,15.262,12.312
491,EPIC 206036749,EPIC 206036749.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,3,1,22h09m54.30s,332.476257,-13d46m39.7s,-13.777700,1.13131600,2456982.119000,,0.03130,4.600,1.32,13.008,11.323
546,EPIC 206135267,EPIC 206135267.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,3,1,22h13m10.74s,333.294769,-11d10m38.5s,-11.177358,2.57308800,2456982.624020,,0.12350,34.000,2.50,9.225,7.267
601,EPIC 206247743,EPIC 206247743.01,K2-39 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,3,1,22h33m28.41s,338.368378,-09d01m22.0s,-9.022769,4.60497000,2456985.431500,,0.02520,7.090,2.59,10.581,8.516
631,EPIC 206532093,EPIC 206532093.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,3,1,22h22m18.70s,335.577911,-04d12m22.6s,-4.206278,2.20218680,2456979.588000,,0.59160,56.500,0.96,11.561,10.035
637,EPIC 207389002,EPIC 207389002.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h50m45.28s,102.688667,+16d48m30.4s,16.808443,2.93122600,2456775.095040,,0.75000,90.000,1.12,15.519,13.826
639,EPIC 207739861,EPIC 207739861.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h38m13.06s,99.554420,+18d13m37.8s,18.227169,1.81449000,2456769.389500,,0.27000,27.000,0.92,16.099,14.546
641,EPIC 208833261,EPIC 208833261.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h04m25.99s,91.108276,+22d29m58.1s,22.499475,3.47451000,2456773.478300,,0.05360,10.600,1.83,13.371,12.826
642,EPIC 209036259,EPIC 209036259.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h27m38.42s,96.910088,+23d20m26.7s,23.340759,0.36918100,2456767.956390,,0.07050,16.500,2.22,15.738,13.961
643,EPIC 209286622,EPIC 209286622.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,0,1,06h15m40.34s,93.918068,+24d22m00.2s,24.366735,6.71694000,2456775.264600,,0.44000,39.000,0.82,16.326,14.408
647,EPIC 210365511,EPIC 210365511.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,4,1,04h00m22.17s,60.092361,+12d38m01.9s,12.633847,3.95197100,2457067.616660,1.466826,0.11188,8.446,0.69,12.439,9.842
648,EPIC 210389383,EPIC 210389383.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,4,1,04h10m24.88s,62.603676,+13d13m03.8s,13.217711,14.08549000,2457069.777150,,0.14602,21.100,1.32,12.752,10.772
688,EPIC 210605073,EPIC 210605073.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,4,1,04h22m29.59s,65.623291,+17d02m16.3s,17.037874,0.56705500,2457127.436510,5.700000,0.10470,16.220,1.42,17.887,
690,EPIC 210609658,EPIC 210609658.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,4,1,03h42m52.04s,55.716835,+17d06m05.4s,17.101500,14.14523900,2457074.405560,8.065367,0.06327,14.864,2.15,12.587,10.079
708,EPIC 210731500,EPIC 210731500.01,K2-87 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,4,1,04h24m56.69s,66.236221,+18d49m38.7s,18.827417,9.72739000,2457072.301200,,0.04410,4.600,0.93,13.691,11.197
735,EPIC 210957318,EPIC 210957318.01,K2-30 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,03h29m22.07s,52.341961,+22d17m57.9s,22.299404,4.09849200,2457067.905600,11.709642,0.12755,12.652,0.91,13.171,11.088
736,EPIC 210958990,EPIC 210958990.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,4,1,04h11m00.96s,62.754017,+22d19m31.2s,22.325340,1.70230100,2457065.782900,,0.13690,19.100,1.28,12.613,10.709
753,EPIC 211089792,EPIC 211089792.01,K2-29 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,4,1,04h10m40.96s,62.670647,+24d24m07.4s,24.402042,3.25882400,2457064.431510,10.987566,0.12890,12.056,0.86,12.914,10.062
755,EPIC 211106187,EPIC 211106187.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,4,1,03h56m18.98s,59.079082,+24d39m39.2s,24.660879,14.64307100,2457072.274540,54.976200,0.04593,66.050,13.18,13.124,11.023
757,EPIC 211147528,EPIC 211147528.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CANDIDATE,,4,1,03h58m35.32s,59.647171,+25d23m18.9s,25.388590,2.34951500,2457065.408190,6.352441,0.09054,53.427,5.41,11.832,10.619
781,EPIC 211342524,EPIC 211342524.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2017arXiv171106377P target=ref>Petigura et al. 2017</a>,CANDIDATE,,5,1,08h32m23.69s,128.098694,+10d40m38.1s,10.677239,14.44876700,2457149.367730,,29.69000,44.200,1.36,12.406,10.977
784,EPIC 211351816,EPIC 211351816.01,K2-97 b,CANDIDATE,<a href=http://adsabs.harvard.edu/abs/2018arXiv180205277M target=ref>Mayo et al. 2018</a>,CONFIRMED,,5,1,08h31m03.08s,127.762833,+10d50m51.3s,10.847586,8.40527600,2457142.055220,8.676466,0.02500,8.043,2.95,12.409,10.035
